iter	Passed	Remaining
1581	466690	418310
1582	466967	417998
1583	467250	417693
1584	467511	417368
1585	467776	417046
1586	468045	416728
1587	468309	416406
1588	468578	416088
1589	468837	415761
1590	469108	415445
1591	469378	415128
1592	469644	414807
1593	469915	414492
1594	470181	414172
1595	470436	413842
1596	470695	413516
1597	470965	413199
1598	471242	412890
1599	471497	412560
1600	471756	412234
1601	472027	411919
1602	472298	411604
1603	472567	411287
1604	472828	410963
1605	473166	410706
1606	473581	410515
1607	473862	410209
1608	474130	409891
1609	474394	409570
1610	474659	409250
1611	474951	408953
1612	475233	408648
1613	475496	408325
1614	475759	408004
1615	476035	407693
1616	476299	407373
1617	476561	407050
1618	476831	406735
1619	477101	406419
1620	477354	406089
1621	477619	405770
1622	477889	405455
1623	478163	405143
1624	478424	404820
1625	478696	404507
1626	478979	404203
1627	479238	403878
1628	479497	403555
1629	479760	403234
1630	480030	402919
1631	480296	402601
1632	480580	402298
1633	480849	401983
1634	481119	401668
1635	481384	401349
1636	481662	401042
1637	481925	400722
1638	482202	400413
1639	482471	400098
1640	482722	399768
1641	482995	399456
1642	483260	399138
1643	483529	398823
1644	483795	398505
1645	484082	398206
1646	484344	397886
1647	484599	397559
1648	484863	397241
1649	485132	396926
1650	485390	396603
1651	485654	396284
1652	485924	395970
1653	486209	395669
1654	486466	395346
1655	486724	395022
1656	487010	394722
1657	487280	394408
1658	487540	394087
1659	487800	393766
1660	488074	393456
